Date,AAPL,AMZN,FB,GOOG,MSFT
2011-05-31,10.682141304016113,196.69000244140625,,263.5222473144531,20.040794372558594
2011-06-01,10.610895156860352,192.39999389648438,,261.8186340332031,19.57603645324707
2011-06-02,10.629012107849121,193.64999389648438,,263.0440368652344,19.407752990722656
2011-06-03,10.547321319580078,188.32000732421875,,260.5633544921875,19.15935516357422
2011-06-06,10.381485939025879,185.69000244140625,,259.55712890625,19.239486694335938
2011-06-07,10.197216033935547,187.5500030517578,,258.5458984375,19.279550552368164
2011-06-08,10.203361511230469,188.0500030517578,,258.6156311035156,19.183393478393555
2011-06-09,10.180327415466309,189.67999267578125,,257.40020751953125,19.199417114257812
2011-06-10,10.00865650177002,186.52999877929688,,253.80368041992188,18.99909210205078
2011-06-13,10.030155181884766,186.2899932861328,,251.422607421875,19.263525009155273
2011-06-14,10.209505081176758,189.9600067138672,,253.23580932617188,19.407752990722656
2011-06-15,10.034759521484375,185.97999572753906,,250.5359344482422,19.02313232421875
2011-06-16,9.985929489135742,183.64999389648438,,249.25074768066406,19.231473922729492
2011-06-17,9.835445404052734,186.3699951171875,,241.60440063476562,19.439809799194336
2011-06-20,9.683732986450195,187.72000122070312,,241.38522338867188,19.608081817626953
2011-06-21,9.990228652954102,194.22999572753906,,245.5795135498047,19.84046745300293
2011-06-22,9.907615661621094,191.6300048828125,,242.59568786621094,19.752317428588867
2011-06-23,10.172344207763672,194.16000366210938,,239.21336364746094,19.736289978027344
2011-06-24,10.022475242614746,192.5500030517578,,236.5533447265625,19.471864700317383
2011-06-27,10.197216033935547,201.25,,240.49855041503906,20.19304847717285
2011-06-28,10.29610538482666,202.35000610351562,,245.90328979492188,20.67383575439453
2011-06-29,10.25864028930664,204.17999267578125,,247.85597229003906,20.52959442138672
2011-06-30,10.308696746826172,204.49000549316406,,252.24452209472656,20.834096908569336
2011-07-01,10.54179573059082,209.49000549316406,,259.54217529296875,20.850116729736328
2011-07-05,10.731276512145996,213.19000244140625,,265.2258605957031,20.858131408691406
2011-07-06,10.802836418151855,214.19000244140625,,266.680419921875,21.098522186279297
2011-07-07,10.969902992248535,216.74000549316406,,272.2794189453125,21.45110511779785
2011-07-08,11.046985626220703,218.27999877929688,,265.001708984375,21.571298599243164
2011-07-11,10.87162971496582,212.5500030517578,,262.655517578125,21.338916778564453
2011-07-12,10.86395263671875,211.22999572753906,,266.0079345703125,21.266803741455078
2011-07-13,10.995089530944824,213.5,,268.125,21.338916778564453
2011-07-14,10.987409591674805,210.3800048828125,,263.4823913574219,21.21070671081543
2011-07-15,11.206989288330078,212.8699951171875,,297.6941833496094,21.459115982055664
2011-07-18,11.47970199584961,211.52999877929688,,296.3591613769531,21.306865692138672
2011-07-19,11.573371887207031,218.05999755859375,,300.14996337890625,22.0681095123291
2011-07-20,11.882014274597168,215.5500030517578,,296.56341552734375,21.68348503112793
2011-07-21,11.89399242401123,213.2100067138672,,302.3616638183594,21.715532302856445
2011-07-22,12.078564643859863,216.52000427246094,,307.960693359375,22.060100555419922
2011-07-25,12.238260269165039,213.49000549316406,,308.33428955078125,22.364593505859375
2011-07-26,12.389052391052246,214.17999267578125,,310.0976867675781,22.500823974609375
2011-07-27,12.056761741638184,222.52000427246094,,302.47625732421875,21.89983558654785
2011-07-28,12.033108711242676,223.89999389648438,,304.32928466796875,22.212345123291016
2011-07-29,11.991955757141113,222.52000427246094,,300.71783447265625,21.9559326171875
2011-08-01,12.184516906738281,221.32000732421875,,302.2520751953125,21.851755142211914
2011-08-02,11.943744659423828,211.6999969482422,,295.0939025878906,21.47513771057129
2011-08-03,12.056143760681152,209.9600067138672,,299.4625549316406,21.571298599243164
2011-08-04,11.589339256286621,201.47999572753906,,287.68170166015625,20.786012649536133
2011-08-05,11.474172592163086,202.6999969482422,,288.4388732910156,20.577674865722656
2011-08-08,10.847367286682129,193.6999969482422,,271.9905090332031,19.61609649658203
2011-08-09,11.486153602600098,205.08999633789062,,285.6343688964844,20.497541427612305
2011-08-10,11.169219017028809,194.1300048828125,,273.47991943359375,19.39173126220703
2011-08-11,11.476630210876465,198.36000061035156,,280.01544189453125,20.185029983520508
2011-08-12,11.57767105102539,202.3000030517578,,280.8323669433594,20.1129150390625
2011-08-15,11.774835586547852,202.9499969482422,,277.5745849609375,20.441450119018555
2011-08-16,11.68485164642334,197.67999267578125,,268.4936218261719,20.441452026367188
2011-08-17,11.683623313903809,195.92999267578125,,265.57952880859375,20.360809326171875
2011-08-18,11.241695404052734,182.52000427246094,,251.49732971191406,19.893110275268555
2011-08-19,10.93397045135498,178.92999267578125,,244.54339599609375,19.39316749572754
2011-08-22,10.946564674377441,177.5399932861328,,248.1548614501953,19.336727142333984
2011-08-23,11.47356128692627,193.5500030517578,,258.4412841796875,19.933439254760742
2011-08-24,11.552796363830566,193.72999572753906,,260.6679382324219,20.07858657836914
2011-08-25,11.477246284484863,192.02999877929688,,259.04901123046875,19.812480926513672
2011-08-26,11.780051231384277,199.27000427246094,,262.4462890625,20.360809326171875
2011-08-29,11.976296424865723,206.52999877929688,,268.5334777832031,20.83656883239746
2011-08-30,11.976911544799805,210.9199981689453,,269.3404541015625,21.151058197021484
2011-08-31,11.818443298339844,215.22999572753906,,269.469970703125,21.449417114257812
2011-09-01,11.701739311218262,212.5399932861328,,265.2557678222656,21.134931564331055
2011-09-02,11.487381935119629,210.0,,261.4400634765625,20.804323196411133
2011-09-06,11.662125587463379,216.17999267578125,,260.1150207519531,20.57046890258789
